CountryCode,Country,lat,long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
258,French Polynesia,-17.679742,-149.406843,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99
266,Gabon,-0.803689,11.609444,,,,,38,38,38,38,38,39,39,39,39,39,40,40,40,40,41,41,41,41,41,42,42,42
270,Gambia,13.443182,-15.310139,,,60,60,60,60,60,60,60,60,60,60,60,59,59,59,59,59,59,59,59,59,59,59,59,59
268,Georgia,42.315407,43.356892,98,98,98,98,98,98,98,98,97,96,96,95,94,94,93,93,92,91,91,90,89,89,88,88,87,86
276,Germany,51.165691,10.451526,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
288,Ghana,7.946527,-1.023194,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15
300,Greece,39.074208,21.824312,93,93,93,93,94,94,94,95,95,95,96,96,96,97,97,97,97,98,98,98,99,99,99,99,99,99
304,Greenland,71.706936,-42.604303,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
308,Grenada,12.262776,-61.604171,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
312,Guadeloupe,16.995971,-62.067641,,,,,,,,,,,,,95,95,95,95,96,96,96,97,97,97,97,97,97,
316,Guam,13.444304,144.793731,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90
320,Guatemala,15.783471,-90.230759,47,48,49,50,50,51,52,52,53,54,55,55,56,57,57,58,59,60,60,61,62,62,63,64,64,64
324,Guinea,9.945587,-9.696645,8,9,9,10,10,11,11,12,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20
624,Guinea-Bissau,11.803749,-15.180413,,,,,11,11,11,11,11,12,12,13,14,14,15,16,16,17,18,18,19,20,20,21,21,21
328,Guyana,4.860416,-58.93018,76,76,76,77,77,77,78,78,79,79,79,80,80,80,81,81,82,82,82,83,83,84,84,84,84,84
332,Haiti,18.971187,-72.285215,18,18,18,19,19,19,20,20,20,21,21,22,22,23,23,24,24,25,25,26,26,26,27,27,27,28
340,Honduras,15.199999,-86.241905,48,50,51,53,54,56,57,59,60,62,63,65,66,68,69,71,72,73,75,76,77,79,80,81,83,83
348,Hungary,47.162494,19.503304,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
352,Iceland,64.963051,-19.020835,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
356,India,20.593684,78.96288,17,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40
360,Indonesia,-0.789275,113.921327,35,36,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,61
364,Iran (Islamic Republic of),32.427908,53.688046,71,72,72,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,89,90,90,90,90
368,Iraq,33.223191,43.679291,,72,72,72,72,72,72,73,74,75,75,76,77,78,79,79,80,81,82,83,83,84,85,86,86,86
372,Ireland,53.41291,-8.24389,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,91,91
376,Israel,31.046051,34.851612,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
380,Italy,41.87194,12.56738,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
388,Jamaica,18.109581,-77.297508,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82
392,Japan,36.204824,138.252924,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
400,Jordan,30.585164,36.238414,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99
398,Kazakhstan,48.019573,66.923684,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98
404,Kenya,-0.023559,37.906193,25,25,25,25,26,26,26,26,26,27,27,27,27,28,28,28,28,29,29,29,29,29,30,30,30,30
296,Kiribati,-3.370417,-168.734039,28,29,29,30,30,31,31,32,33,34,34,35,35,36,36,37,37,37,38,38,39,39,40,40,40,40
408,"Korea, Democratic People's Republic of",40.339852,127.510093,,,53,53,53,53,53,55,57,59,61,63,65,67,69,70,72,74,76,78,80,82,82,82,82,82
410,"Korea, Republic of",35.907757,127.766922,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
414,Kuwait,29.31166,47.481766,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
417,Kyrgyzstan,41.20438,74.766098,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,93,93,93,93,93,93,93,93,93
418,Lao People's Democratic Republic,19.85627,102.495496,,,,,20,20,21,21,22,25,28,31,34,37,40,43,47,50,53,56,59,62,65,68,71,71
428,Latvia,56.879635,24.603189,,,,,,,,82,82,82,82,82,82,83,83,84,84,84,85,85,86,86,87,87,87,88
422,Lebanon,33.854721,35.862285,,,,,,,,,83,83,83,83,83,82,82,82,82,82,81,81,81,81,81,81,81,81
426,Lesotho,-29.609988,28.233608,,,,,23,23,23,23,23,23,24,24,25,25,26,26,27,27,28,28,29,29,29,30,30,30
430,Liberia,6.428055,-9.429499,,,,,14,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17
434,Libyan Arab Jamahiriya,26.3351,17.228331,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
438,Liechtenstein,47.166,9.555373,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,55.169438,23.881275,83,83,84,84,84,85,85,85,86,86,87,87,87,88,88,89,89,89,90,90,91,91,91,92,92,92
442,Luxembourg,49.815273,6.129583,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
450,Madagascar,-18.766947,46.869107,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12
454,Malawi,-13.254308,34.301525,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,37,38,38,39,39,40,40,41,41
458,Malaysia,4.210484,101.975766,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,93,94,94,95,95,95,96,96,96,96,96
462,Maldives,3.202778,73.22068,68,68,68,68,68,70,72,74,76,78,79,82,84,85,87,89,91,93,94,96,97,98,98,98,98,98
466,Mali,17.570692,-3.996166,14,14,15,15,16,16,16,17,17,18,18,18,19,19,20,20,21,21,22,22,22,23,23,24,24,25
470,Malta,35.937496,14.375416,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
584,Marshall Islands,7.131474,171.184478,65,65,66,66,67,67,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,77
474,Martinique,14.641528,-61.024174,,,,,,,,,,,,,92,92,92,92,92,92,92,92,92,92,92,92,92,
478,Mauritania,21.00789,-10.940835,16,16,16,16,17,18,19,20,22,23,24,25,26,27,28,30,31,32,33,34,36,37,38,40,40,40
480,Mauritius,-20.348404,57.552152,91,91,91,91,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,93,93,93,93,93,93,93
175,Mayotte,-12.8275,45.166244,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Mexico,23.634501,-102.552784,66,67,68,69,70,71,72,72,73,74,75,76,76,77,78,79,79,80,81,82,82,83,84,84,85,85
583,"Micronesia, Federated States of",7.425554,150.550812,19,19,19,21,23,25,27,28,30,32,34,36,38,40,41,43,45,47,49,51,53,55,57,57,57,57
492,Monaco,43.750298,7.412841,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
496,Mongolia,46.862496,103.846656,,,46,46,46,46,46,47,47,48,48,49,50,51,52,53,54,54,55,56,57,57,58,59,59,60
499,Montenegro,42.708678,19.37439,,,,,,,,,89,89,89,89,89,90,90,91,91,92,93,93,94,94,95,95,96,96
500,Montserrat,16.742498,-62.187366,70,71,72,73,74,75,76,77,78,79,80,81,82,83,83,83,83,83,,,,,,,,
504,Morocco,31.791702,-7.09262,52,54,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,77,77
508,Mozambique,-18.665695,35.529562,10,10,11,11,11,12,12,13,13,14,14,15,15,16,16,17,17,17,18,18,19,19,20,20,20,21
104,Myanmar,21.913965,95.956223,,54,54,54,54,54,56,57,59,60,62,63,65,66,68,69,71,72,74,75,77,78,79,80,80,80
516,Namibia,-22.95764,18.49041,24,24,25,25,25,26,26,26,27,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,34
520,Nauru,-0.522778,166.931503,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
524,Nepal,28.394857,84.124008,5,6,8,10,11,13,15,17,18,20,22,23,25,27,28,30,32,33,35,36,38,40,41,43,44,46
528,Netherlands,52.132633,5.291266,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
530,Netherlands Antilles,12.226079,-69.060087,,,,,,,,,,,,,,,,,,,,,,,,,,
540,New Caledonia,-20.904305,165.618042,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
554,New Zealand,-40.900557,174.885971,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Nicaragua,12.865416,-85.207229,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,66,67,68,68,68
562,Niger,17.607789,8.081666,4,4,4,5,5,5,6,6,6,6,7,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
566,Nigeria,9.081999,8.675277,38,38,37,37,36,36,36,35,35,34,34,34,33,33,33,32,32,32,31,31,31,30,30,30,29,29
570,Niue,-19.054445,-169.867233,,69,69,69,69,69,71,73,75,77,79,81,84,86,88,90,92,94,96,99,100,100,100,100,100,100
580,Northern Mariana Islands,17.33083,145.38469,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,80,80
578,Norway,60.472024,8.468946,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
512,Oman,21.512583,55.923255,82,82,83,84,84,85,86,87,87,88,89,90,91,92,92,93,94,95,96,97,97,97,97,97,97,97
586,Pakistan,30.375321,69.345116,24,24,24,24,26,28,30,31,33,35,37,39,41,42,44,46,48,49,51,53,55,57,58,60,62,64
585,Palau,7.51498,134.58252,47,50,54,57,61,65,68,71,74,78,81,85,89,92,96,98,99,100,100,100,100,100,100,100,100,100
591,Panama,8.537981,-80.782127,59,60,61,62,62,63,64,65,65,66,67,67,68,69,69,70,70,71,71,72,72,73,73,74,75,75
598,Papua New Guinea,-6.314993,143.95555,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
600,Paraguay,-23.442503,-58.443832,52,54,56,57,59,61,62,64,65,67,69,70,72,73,74,76,77,79,80,81,83,84,85,87,88,89
604,Peru,-9.189967,-75.015152,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,69,70,71,72,73,74,75,75,76
608,Philippines,12.879721,121.774017,57,58,58,59,60,61,61,62,63,63,64,65,65,66,66,67,68,68,69,70,71,71,72,73,73,74
616,Poland,51.919438,19.145136,,,,,,,87,87,87,87,87,88,89,89,90,91,91,92,93,94,94,95,96,97,97,97
